name,version,licence,licensor,homepage,scope
@inquirer/core,12.0.1,MIT,Simon Boudrias,https://github.com/SBoudrias/Inquirer.js/blob/main/packages/core/README.md,runtime
@inquirer/editor,4.2.23,MIT,Simon Boudrias,https://github.com/SBoudrias/Inquirer.js/blob/main/packages/editor/README.md,runtime
@inquirer/editor,5.3.1,MIT,Simon Boudrias,https://github.com/SBoudrias/Inquirer.js/blob/main/packages/editor/README.md,runtime
@inquirer/expand,4.0.23,MIT,Simon Boudrias,https://github.com/SBoudrias/Inquirer.js/blob/main/packages/expand/README.md,runtime
@inquirer/expand,5.1.3,MIT,Simon Boudrias,https://github.com/SBoudrias/Inquirer.js/blob/main/packages/expand/README.md,runtime
@inquirer/external-editor,1.0.3,MIT,Simon Boudrias,https://github.com/SBoudrias/Inquirer.js/blob/main/packages/external-editor/README.md,runtime
@inquirer/external-editor,3.0.4,MIT,Simon Boudrias,https://github.com/SBoudrias/Inquirer.js/blob/main/packages/external-editor/README.md,runtime
@inquirer/figures,1.0.15,MIT,Simon Boudrias,https://github.com/SBoudrias/Inquirer.js#readme,runtime
@inquirer/figures,2.0.8,MIT,Simon Boudrias,https://github.com/SBoudrias/Inquirer.js#readme,runtime
@inquirer/input,4.3.1,MIT,Simon Boudrias,https://github.com/SBoudrias/Inquirer.js/blob/main/packages/input/README.md,runtime
@inquirer/input,5.1.4,MIT,Simon Boudrias,https://github.com/SBoudrias/Inquirer.js/blob/main/packages/input/README.md,runtime
@inquirer/number,3.0.23,MIT,Simon Boudrias,https://github.com/SBoudrias/Inquirer.js/blob/main/packages/number/README.md,runtime
@inquirer/number,4.2.1,MIT,Simon Boudrias,https://github.com/SBoudrias/Inquirer.js/blob/main/packages/number/README.md,runtime
@inquirer/password,4.0.23,MIT,Simon Boudrias,https://github.com/SBoudrias/Inquirer.js/blob/main/packages/password/README.md,runtime
@inquirer/password,5.2.0,MIT,Simon Boudrias,https://github.com/SBoudrias/Inquirer.js/blob/main/packages/password/README.md,runtime
@inquirer/prompts,7.10.1,MIT,Simon Boudrias,https://github.com/SBoudrias/Inquirer.js/blob/main/packages/prompts/README.md,runtime
@inquirer/prompts,8.7.0,MIT,Simon Boudrias,https://github.com/SBoudrias/Inquirer.js/blob/main/packages/prompts/README.md,runtime
@inquirer/rawlist,4.1.11,MIT,Simon Boudrias,https://github.com/SBoudrias/Inquirer.js/blob/main/packages/rawlist/README.md,runtime
@inquirer/rawlist,5.3.3,MIT,Simon Boudrias,https://github.com/SBoudrias/Inquirer.js/blob/main/packages/rawlist/README.md,runtime
@inquirer/search,3.2.2,MIT,Simon Boudrias,https://github.com/SBoudrias/Inquirer.js/blob/main/packages/search/README.md,runtime
@inquirer/search,4.3.1,MIT,Simon Boudrias,https://github.com/SBoudrias/Inquirer.js/blob/main/packages/search/README.md,runtime
@inquirer/select,4.4.2,MIT,Simon Boudrias,https://github.com/SBoudrias/Inquirer.js/blob/main/packages/select/README.md,runtime
@inquirer/select,5.2.3,MIT,Simon Boudrias,https://github.com/SBoudrias/Inquirer.js/blob/main/packages/select/README.md,runtime
@inquirer/type,3.0.10,MIT,Simon Boudrias,https://github.com/SBoudrias/Inquirer.js#readme,runtime
@inquirer/type,4.1.0,MIT,Simon Boudrias,https://github.com/SBoudrias/Inquirer.js#readme,runtime
@isaacs/fs-minipass,4.0.1,ISC,Isaac Z. Schlueter,https://github.com/npm/fs-minipass#readme,runtime
@isaacs/ttlcache,2.1.5,BlueOak-1.0.0,Isaac Z. Schlueter,https://github.com/isaacs/ttlcache#readme,runtime
@jridgewell/gen-mapping,0.3.13,MIT,Justin Ridgewell,https://github.com/jridgewell/sourcemaps/tree/main/packages/gen-mapping,runtime
@jridgewell/remapping,2.3.5,MIT,Justin Ridgewell,https://github.com/jridgewell/sourcemaps/tree/main/packages/remapping,runtime
@jridgewell/resolve-uri,3.1.2,MIT,Justin Ridgewell,https://github.com/jridgewell/resolve-uri#readme,runtime
@jridgewell/sourcemap-codec,1.5.5,MIT,Justin Ridgewell,https://github.com/jridgewell/sourcemaps/tree/main/packages/sourcemap-codec,runtime
@jridgewell/trace-mapping,0.3.31,MIT,Justin Ridgewell,https://github.com/jridgewell/sourcemaps/tree/main/packages/trace-mapping,runtime
@lezer/common,1.5.2,MIT,Marijn Haverbeke,https://github.com/lezer-parser/common#readme,runtime
@lezer/highlight,1.2.3,MIT,Marijn Haverbeke,https://github.com/lezer-parser/highlight#readme,runtime
@lezer/javascript,1.5.4,MIT,Marijn Haverbeke,https://github.com/lezer-parser/javascript#readme,runtime
@lezer/lr,1.4.10,MIT,Marijn Haverbeke,,runtime
@marijn/find-cluster-break,1.0.4,MIT,Marijn Haverbeke,https://code.haverbeke.berlin/marijn/find-cluster-break,runtime
@module-federation/dts-plugin,2.8.2,MIT,hanric,https://github.com/module-federation/core#readme,runtime
@module-federation/error-codes,2.8.2,MIT,zhanghang,https://github.com/module-federation/core#readme,runtime
@module-federation/error-codes,2.9.0,MIT,zhanghang,https://github.com/module-federation/core#readme,runtime
@module-federation/managers,2.8.2,MIT,hanric,https://github.com/module-federation/core#readme,runtime
@module-federation/runtime,2.8.2,MIT,zhouxiao,https://github.com/module-federation/core#readme,runtime
@module-federation/runtime,2.9.0,MIT,zhouxiao,https://github.com/module-federation/core#readme,runtime
@module-federation/runtime-core,2.8.2,MIT,zhouxiao,https://github.com/module-federation/core#readme,runtime
@module-federation/runtime-core,2.9.0,MIT,zhouxiao,https://github.com/module-federation/core#readme,runtime
@module-federation/sdk,2.8.2,MIT,zhanghang,https://github.com/module-federation/core#readme,runtime
@module-federation/sdk,2.9.0,MIT,zhanghang,https://github.com/module-federation/core#readme,runtime
